func,type,x1,x2,p,w,L
belowroof,1,0.45,5,,,38.55485687
belowroof,1,1,20,,,58.16132091
belowroof,1,10,100,,,93.23
belowroof,1,28,300,,,112.3178654
belowroof,1,82,500,,,126.5232444
belowroof,1,100,250,,,122.0673582
belowroof,1,159,250,,,126.2161389
belowroof,1,200,150,,,123.676307
belowroof,1,255,155,,,126.1445939
belowroof,1,300,100,,,123.6586978
belowroof,2,0.8,20,,,62.35825254
belowroof,2,1,300,,,108.4166228
belowroof,2,10,300,,,131.0166228
belowroof,2,28,500,,,149.3973527
belowroof,2,82,150,,,140.440397
belowroof,2,100,100,,,135.82
belowroof,2,159,150,,,146.939779
belowroof,3,0.45,10,,,43.81874779
belowroof,3,1,100,,,96.44
belowroof,3,10,150,,,125.7993249
belowroof,3,28,150,,,135.3685068
belowroof,3,73,150,,,144.2744341
belowroof,3,100,100,,,139.24
belowroof,3,159,80,,,139.1695659
belowroof,3,200,50,,,132.0754861
belowroof,3,255,50,,,134.3334041
belowroof,4,0.8,30,,,61.2553125
belowroof,4,10,100,,,99.7
belowroof,4,28,100,,,108.9561712
belowroof,4,73,170,,,124.5072957
aboveroof,1,2.2,55,,,75.16579013
aboveroof,1,10,200,,,100.8935869
aboveroof,1,28,800,,,123.4450581
aboveroof,1,50,1000,,,130.5998121
aboveroof,1,73,1200,,,135.6343786
aboveroof,2,2.2,260,,,107.6230516
aboveroof,2,10,500,,,135.2147832
aboveroof,2,28,800,,,154.4602851
aboveroof,2,50,1000,,,164.5063101
aboveroof,2,66.5,1200,,,170.8309545
lowheight,1,300,5,5,20,26.59779998
lowheight,1,300,5,5,30,26.59779998
lowheight,1,300,5,10,20,28.11530496
lowheight,1,300,5,10,30,28.11530496
lowheight,1,300,5,25,20,31.3907017
lowheight,1,300,5,25,30,31.3907017
lowheight,1,300,5,50,20,35.9719348
lowheight,1,300,5,50,30,35.9719348
lowheight,1,300,5,75,20,41.3058034
lowheight,1,300,5,75,30,41.3058034
lowheight,1,300,5,90,20,46.5648381
lowheight,1,300,5,90,30,46.5648381
lowheight,1,300,5,95,20,49.8653544
lowheight,1,300,5,95,30,49.8653544
lowheight,1,300,10,5,20,32.61839989
lowheight,1,300,10,5,30,32.61839989
lowheight,1,300,10,10,20,34.13590487
lowheight,1,300,10,10,30,34.13590487
lowheight,1,300,10,25,20,37.41130161
lowheight,1,300,10,25,30,37.41130161
lowheight,1,300,10,50,20,41.99253471
lowheight,1,300,10,50,30,41.99253471
lowheight,1,300,10,75,20,47.32640332
lowheight,1,300,10,75,30,47.32640332
lowheight,1,300,10,90,20,52.58543801
lowheight,1,300,10,90,30,52.58543801
lowheight,1,300,10,95,20,55.88595431
lowheight,1,300,10,95,30,55.88595431
lowheight,1,300,50,5,20,46.59779998
lowheight,1,300,50,5,30,46.59779998
lowheight,1,300,50,10,20,48.11530496
lowheight,1,300,50,10,30,48.11530496
lowheight,1,300,50,25,20,51.3907017
lowheight,1,300,50,25,30,51.3907017
lowheight,1,300,50,50,20,60.22853457
lowheight,1,300,50,50,30,58.93886906
lowheight,1,300,50,75,20,73.65068489
lowheight,1,300,50,75,30,71.37332453
lowheight,1,300,50,90,20,77.90011759
lowheight,1,300,50,90,30,77.90011759
lowheight,1,300,50,95,20,80.44323202
lowheight,1,300,50,95,30,80.44323202
lowheight,1,300,100,5,20,52.61839989
lowheight,1,300,100,5,30,52.61839989
lowheight,1,300,100,10,20,54.13590487
lowheight,1,300,100,10,30,54.13590487
lowheight,1,300,100,25,20,57.41130161
lowheight,1,300,100,25,30,57.41130161
lowheight,1,300,100,50,20,80.97045646
lowheight,1,300,100,50,30,80.97045646
lowheight,1,300,100,75,20,85.69188471
lowheight,1,300,100,75,30,85.69188471
lowheight,1,300,100,90,20,89.94131742
lowheight,1,300,100,90,30,89.94131742
lowheight,1,300,100,95,20,92.48443185
lowheight,1,300,100,95,30,92.48443185
lowheight,1,300,500,5,20,97.41528125
lowheight,1,300,500,5,30,97.41528125
lowheight,1,300,500,10,20,99.95839568
lowheight,1,300,500,10,30,99.95839568
lowheight,1,300,500,25,20,104.2078284
lowheight,1,300,500,25,30,104.2078284
lowheight,1,300,500,50,20,108.9292566
lowheight,1,300,500,50,30,108.9292566
lowheight,1,300,500,75,20,113.6506849
lowheight,1,300,500,75,30,113.6506849
lowheight,1,300,500,90,20,117.9001176
lowheight,1,300,500,90,30,117.9001176
lowheight,1,300,500,95,20,120.443232
lowheight,1,300,500,95,30,120.443232
lowheight,1,300,1000,5,20,109.4564811
lowheight,1,300,1000,5,30,109.4564811
lowheight,1,300,1000,10,20,111.9995955
lowheight,1,300,1000,10,30,111.9995955
lowheight,1,300,1000,25,20,116.2490282
lowheight,1,300,1000,25,30,116.2490282
lowheight,1,300,1000,50,20,120.9704565
lowheight,1,300,1000,50,30,120.9704565
lowheight,1,300,1000,75,20,125.6918847
lowheight,1,300,1000,75,30,125.6918847
lowheight,1,300,1000,90,20,129.9413174
lowheight,1,300,1000,90,30,129.9413174
lowheight,1,300,1000,95,20,132.4844319
lowheight,1,300,1000,95,30,132.4844319
lowheight,1,300,2000,5,20,121.4976809
lowheight,1,300,2000,5,30,121.4976809
lowheight,1,300,2000,10,20,124.0407953
lowheight,1,300,2000,10,30,124.0407953
lowheight,1,300,2000,25,20,128.290228
lowheight,1,300,2000,25,30,128.290228
lowheight,1,300,2000,50,20,133.0116563
lowheight,1,300,2000,50,30,133.0116563
lowheight,1,300,2000,75,20,137.7330845
lowheight,1,300,2000,75,30,137.7330845
lowheight,1,300,2000,90,20,141.9825172
lowheight,1,300,2000,90,30,141.9825172
lowheight,1,300,2000,95,20,144.5256317
lowheight,1,300,2000,95,30,144.5256317
lowheight,1,900,5,5,20,36.14022507
lowheight,1,900,5,5,30,36.14022507
lowheight,1,900,5,10,20,37.65773005
lowheight,1,900,5,10,30,37.65773005
lowheight,1,900,5,25,20,40.93312679
lowheight,1,900,5,25,30,40.93312679
lowheight,1,900,5,50,20,45.51435989
lowheight,1,900,5,50,30,45.51435989
lowheight,1,900,5,75,20,50.8482285
lowheight,1,900,5,75,30,50.8482285
lowheight,1,900,5,90,20,56.10726319
lowheight,1,900,5,90,30,56.10726319
lowheight,1,900,5,95,20,59.40777949
lowheight,1,900,5,95,30,59.40777949
lowheight,1,900,10,5,20,42.16082499
lowheight,1,900,10,5,30,42.16082499
lowheight,1,900,10,10,20,43.67832997
lowheight,1,900,10,10,30,43.67832997
